Country name,Regional indicator,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
Mozambique,Sub-Saharan Africa,4.695888888888889,7.024,0.7521111111111112,50.36955555555556,0.7516666666666666,0.03766666666666666,0.7295555555555555,0.6148888888888888,0.3219444444444444
Myanmar,Southeast Asia,4.4104,8.408100000000001,0.7595000000000001,58.4542,0.8419000000000001,0.6079,0.642,0.7973,0.2547
Namibia,Sub-Saharan Africa,4.599428571428571,9.164,0.8124285714285714,55.462714285714284,0.7597142857142857,-0.15285714285714286,0.8345714285714285,0.7242857142857143,0.23771428571428574
Nepal,South Asia,4.728133333333333,7.8826,0.7857999999999999,60.4022,0.6827333333333333,0.1459,0.8451333333333333,0.6311333333333333,0.26826666666666665
Netherlands,Western Europe,7.4661333333333335,10.889800000000001,0.9340666666666666,71.75333333333333,0.9078,0.26949999999999996,0.4098,0.8431666666666666,0.21306666666666668
New Zealand,North America and ANZ,7.308066666666666,10.587,0.9526,72.49333333333334,0.9235333333333333,0.24826666666666666,0.2646,0.8459666666666666,0.20033333333333334
Nicaragua,Latin America and Caribbean,5.649733333333334,8.5456,0.8539333333333333,66.13046666666666,0.8119333333333334,0.04253333333333333,0.7303333333333334,0.8059333333333334,0.3125666666666667
Niger,Sub-Saharan Africa,4.308866666666666,6.992866666666667,0.6874,50.732,0.7499333333333333,-0.022266666666666667,0.6839999999999999,0.7063333333333334,0.2313
Nigeria,Sub-Saharan Africa,4.995357142857143,8.501857142857142,0.7545714285714286,47.68585714285714,0.6797857142857142,0.06292857142857143,0.8932857142857143,0.750357142857143,0.2337857142857143
North Cyprus,Western Europe,5.637125,10.576,0.825125,73.898,0.783,0.012,0.683875,0.627375,0.337625
North Macedonia,Central and Eastern Europe,4.928285714285714,9.585571428571429,0.7925000000000001,64.99878571428572,0.6525714285714285,-0.00035714285714285595,0.8744285714285714,0.5937857142857143,0.323
Norway,Western Europe,7.501454545454546,11.040363636363637,0.9508181818181818,72.72727272727273,0.9549090909090908,0.13218181818181818,0.33745454545454545,0.8295909090909089,0.2008181818181818
Oman,Middle East and North Africa,6.853,10.382,0.712,65.5,0.916,0.025,0.636,0.565,0.295
Pakistan,South Asia,5.221933333333334,8.338866666666666,0.5719333333333334,56.85393333333333,0.531,0.10756666666666666,0.7977333333333333,0.6211333333333333,0.3299
Palestinian Territories,Middle East and North Africa,4.6116,8.417733333333334,0.7807333333333334,62.0657,0.5449333333333333,-0.13006666666666666,0.7966,0.5840333333333334,0.39873333333333333
Panama,Latin America and Caribbean,6.650133333333333,10.131133333333333,0.9032,68.8568,0.8179333333333333,-0.043133333333333336,0.8549333333333333,0.8535666666666667,0.20863333333333334
Paraguay,Latin America and Caribbean,5.565785714285714,9.295642857142857,0.9053571428571429,64.8,0.7762857142857144,0.055214285714285716,0.8347857142857142,0.8670714285714285,0.22342857142857145
Peru,Latin America and Caribbean,5.610666666666666,9.3024,0.8048000000000001,66.89,0.7444000000000001,-0.1066,0.8825333333333333,0.7784,0.36373333333333335
Philippines,Southeast Asia,5.256875,8.835625,0.8164375,61.15625,0.8960625,-0.023375,0.779375,0.8143125,0.34168750000000003
Poland,Central and Eastern Europe,5.9452,10.1962,0.9112000000000001,68.1668,0.8237333333333333,-0.08726666666666667,0.8370666666666667,0.7419666666666667,0.23546666666666666
